SampleID,Target [1 for A->B; -1 otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train1801,0,3
train1802,-1,2
train1803,1,1
train1804,0,4
train1805,0,3
train1806,0,4
train1807,0,3
train1808,-1,2
train1809,0,4
train1810,-1,2
train1811,1,1
train1812,0,3
train1813,1,1
train1814,0,3
train1815,1,1
train1816,0,3
train1817,1,1
train1818,0,4
train1819,1,1
train1820,-1,2
train1821,-1,2
train1822,0,4
train1823,0,3
train1824,0,4
train1825,1,1
train1826,0,4
train1827,-1,2
train1828,-1,2
train1829,-1,2
train1830,-1,2
train1831,0,4
train1832,1,1
train1833,0,3
train1834,1,1
train1835,0,3
train1836,0,3
train1837,0,4
train1838,-1,2
train1839,0,3
train1840,-1,2
train1841,1,1
train1842,-1,2
train1843,1,1
train1844,1,1
train1845,1,1
train1846,0,4
train1847,0,3
train1848,1,1
train1849,0,3
train1850,1,1
train1851,0,3
train1852,-1,2
train1853,0,3
train1854,0,4
train1855,-1,2
train1856,0,3
train1857,1,1
train1858,0,4
train1859,0,4
train1860,1,1
train1861,1,1
train1862,0,3
train1863,0,3
train1864,1,1
train1865,-1,2
train1866,1,1
train1867,-1,2
train1868,0,3
train1869,0,3
train1870,0,4
train1871,1,1
train1872,1,1
train1873,0,3
train1874,0,4
train1875,-1,2
train1876,0,4
train1877,0,4
train1878,1,1
train1879,-1,2
train1880,1,1
train1881,1,1
train1882,0,4
train1883,0,3
train1884,0,4
train1885,1,1
train1886,-1,2
train1887,1,1
train1888,0,4
train1889,0,3
train1890,0,3
train1891,0,3
train1892,0,3
train1893,0,4
train1894,1,1
train1895,1,1
train1896,1,1
train1897,1,1
train1898,0,4
train1899,0,4
train1900,0,4
train1901,1,1
train1902,0,4
train1903,1,1
train1904,1,1
train1905,0,3
train1906,-1,2
train1907,0,3
train1908,0,4
train1909,-1,2
train1910,-1,2
train1911,-1,2
train1912,0,3
train1913,0,4
train1914,1,1
train1915,0,3
train1916,1,1
train1917,0,3
train1918,0,3
train1919,0,3
train1920,1,1
train1921,0,4
train1922,1,1
train1923,0,4
train1924,1,1
train1925,1,1
train1926,0,4
train1927,1,1
train1928,0,4
train1929,0,4
train1930,1,1
train1931,0,4
train1932,0,3
train1933,0,3
train1934,0,4
train1935,1,1
train1936,0,4
train1937,0,3
train1938,1,1
train1939,0,4
train1940,0,4
train1941,0,3
train1942,0,4
train1943,0,3
train1944,0,3
train1945,1,1
train1946,0,3
train1947,1,1
train1948,-1,2
train1949,0,4
train1950,0,4
train1951,0,4
train1952,0,3
train1953,1,1
train1954,0,3
train1955,0,3
train1956,0,4
train1957,1,1
train1958,1,1
train1959,0,3
train1960,0,4
train1961,-1,2
train1962,0,4
train1963,-1,2
train1964,1,1
train1965,1,1
train1966,0,3
train1967,-1,2
train1968,0,4
train1969,0,3
train1970,0,4
train1971,0,3
train1972,-1,2
train1973,0,3
train1974,1,1
train1975,1,1
train1976,1,1
train1977,0,4
train1978,0,4
train1979,0,3
train1980,-1,2
train1981,0,4
train1982,1,1
train1983,0,4
train1984,1,1
train1985,0,3
train1986,1,1
train1987,1,1
train1988,-1,2
train1989,1,1
train1990,-1,2
train1991,1,1
train1992,1,1
train1993,1,1
train1994,1,1
train1995,0,3
train1996,0,3
train1997,0,3
train1998,1,1
train1999,0,4
train2000,0,3
train2001,0,3
train2002,0,4
train2003,-1,2
train2004,0,4
train2005,1,1
train2006,1,1
train2007,0,3
train2008,1,1
train2009,0,3
train2010,0,3
train2011,0,3
train2012,-1,2
train2013,-1,2
train2014,-1,2
train2015,0,3
train2016,1,1
train2017,-1,2
train2018,0,4
train2019,0,4
train2020,0,3
train2021,0,4
train2022,1,1
train2023,1,1
train2024,1,1
train2025,0,4
train2026,1,1
train2027,0,4
train2028,-1,2
train2029,1,1
train2030,1,1
train2031,0,4
train2032,0,3
train2033,0,4
train2034,-1,2
train2035,-1,2
train2036,0,4
train2037,1,1
train2038,0,3
train2039,0,4
train2040,0,4
train2041,0,4
train2042,0,4
train2043,1,1
train2044,1,1
train2045,-1,2
train2046,0,4
train2047,-1,2
train2048,1,1
train2049,0,4
train2050,-1,2
train2051,0,3
train2052,-1,2
train2053,0,4
train2054,0,3
train2055,1,1
train2056,0,4
train2057,0,4
train2058,1,1
train2059,0,4
train2060,-1,2
train2061,-1,2
train2062,0,3
train2063,-1,2
train2064,-1,2
train2065,0,3
train2066,1,1
train2067,0,4
train2068,0,3
train2069,1,1
train2070,0,3
train2071,1,1
train2072,-1,2
train2073,-1,2
train2074,0,3
train2075,-1,2
train2076,0,4
train2077,0,4
train2078,1,1
train2079,1,1
train2080,-1,2
train2081,0,4
train2082,1,1
train2083,1,1
train2084,0,3
train2085,-1,2
train2086,-1,2
train2087,-1,2
train2088,0,4
train2089,-1,2
train2090,0,3
train2091,0,3
train2092,1,1
train2093,0,3
train2094,1,1
train2095,1,1
train2096,1,1
train2097,1,1
train2098,1,1
train2099,0,4
train2100,0,4
train2101,1,1
train2102,-1,2
train2103,0,4
train2104,0,3
train2105,-1,2
train2106,1,1
train2107,-1,2
train2108,-1,2
train2109,0,4
train2110,1,1
train2111,0,4
train2112,1,1
train2113,-1,2
train2114,0,4
train2115,0,3
train2116,0,4
train2117,-1,2
train2118,1,1
train2119,0,3
train2120,1,1
train2121,0,3
train2122,-1,2
train2123,-1,2
train2124,1,1
train2125,1,1
train2126,0,4
train2127,-1,2
train2128,1,1
train2129,0,3
train2130,-1,2
train2131,0,4
train2132,0,3
train2133,0,4
train2134,0,4
train2135,0,3
train2136,1,1
train2137,0,3
train2138,1,1
train2139,1,1
train2140,0,3
train2141,0,4
train2142,-1,2
train2143,1,1
train2144,0,4
train2145,-1,2
train2146,0,3
train2147,0,4
train2148,-1,2
train2149,1,1
train2150,-1,2
train2151,1,1
train2152,0,3
train2153,1,1
train2154,1,1
train2155,1,1
train2156,1,1
train2157,0,4
train2158,1,1
train2159,0,4
train2160,0,3
train2161,1,1
train2162,1,1
train2163,0,4
train2164,-1,2
train2165,1,1
train2166,0,3
train2167,0,3
train2168,0,3
train2169,1,1
train2170,1,1
train2171,-1,2
train2172,0,3
train2173,0,4
train2174,0,3
train2175,0,4
train2176,0,4
train2177,0,4
train2178,0,4
train2179,0,3
train2180,1,1
train2181,-1,2
train2182,-1,2
train2183,0,3
train2184,0,4
train2185,-1,2
train2186,0,4
train2187,1,1
train2188,1,1
train2189,0,3
train2190,-1,2
train2191,0,4
train2192,0,3
train2193,0,3
train2194,1,1
train2195,0,3
train2196,0,3
train2197,1,1
train2198,0,3
train2199,-1,2
train2200,0,3
train2201,0,3
train2202,0,4
train2203,0,3
train2204,-1,2
train2205,1,1
train2206,1,1
train2207,0,4
train2208,1,1
train2209,1,1
train2210,-1,2
train2211,0,4
train2212,1,1
train2213,0,4
train2214,1,1
train2215,0,3
train2216,1,1
train2217,0,3
train2218,-1,2
train2219,1,1
train2220,0,3
train2221,0,4
train2222,-1,2
train2223,0,3
train2224,0,4
train2225,0,4
train2226,0,4
train2227,0,4
train2228,0,3
train2229,1,1
train2230,0,4
train2231,1,1
train2232,0,4
train2233,0,3
train2234,0,3
train2235,-1,2
train2236,0,4
train2237,0,3
train2238,0,3
train2239,-1,2
train2240,-1,2
train2241,-1,2
train2242,-1,2
train2243,1,1
train2244,0,3
train2245,0,3
train2246,1,1
train2247,0,4
train2248,1,1
train2249,0,4
train2250,1,1
train2251,0,3
train2252,1,1
train2253,0,4
train2254,0,4
train2255,1,1
train2256,0,4
train2257,1,1
train2258,-1,2
train2259,-1,2
train2260,-1,2
train2261,-1,2
train2262,0,3
train2263,0,3
train2264,0,4
train2265,1,1
train2266,-1,2
train2267,0,3
train2268,-1,2
train2269,0,3
train2270,1,1
train2271,0,4
train2272,0,4
train2273,1,1
train2274,-1,2
train2275,1,1
train2276,-1,2
train2277,1,1
train2278,0,3
train2279,0,3
train2280,0,3
train2281,0,3
train2282,0,3
train2283,-1,2
train2284,1,1
train2285,1,1
train2286,0,4
train2287,0,3
train2288,-1,2
train2289,-1,2
train2290,0,3
train2291,0,4
train2292,1,1
train2293,-1,2
train2294,0,3
train2295,0,4
train2296,0,4
train2297,-1,2
train2298,0,3
train2299,1,1
train2300,0,4
train2301,-1,2
train2302,1,1
train2303,0,3
train2304,-1,2
train2305,0,4
train2306,1,1
train2307,1,1
train2308,-1,2
train2309,0,3
train2310,1,1
train2311,-1,2
train2312,0,3
train2313,1,1
train2314,1,1
train2315,0,3
train2316,1,1
train2317,0,3
train2318,0,4
train2319,1,1
train2320,0,3
train2321,0,3
train2322,0,4
train2323,1,1
train2324,1,1
train2325,0,3
train2326,1,1
train2327,0,3
train2328,0,4
train2329,0,4
train2330,-1,2
train2331,0,3
train2332,1,1
train2333,1,1
train2334,-1,2
train2335,-1,2
train2336,0,4
train2337,0,3
train2338,1,1
train2339,-1,2
train2340,1,1
train2341,0,4
train2342,0,4
train2343,1,1
train2344,0,3
train2345,1,1
train2346,-1,2
train2347,0,4
train2348,0,4
train2349,-1,2
train2350,0,3
train2351,-1,2
train2352,-1,2
train2353,0,3
train2354,-1,2
train2355,0,4
train2356,1,1
train2357,-1,2
train2358,0,3
train2359,-1,2
train2360,1,1
train2361,0,3
train2362,-1,2
train2363,0,4
train2364,0,3
train2365,0,4
train2366,1,1
train2367,0,3
train2368,0,3
train2369,0,4
train2370,-1,2
train2371,1,1
train2372,0,4
train2373,1,1
train2374,-1,2
train2375,1,1
train2376,1,1
train2377,1,1
train2378,-1,2
train2379,1,1
train2380,1,1
train2381,0,4
train2382,0,4
train2383,1,1
train2384,0,4
train2385,0,3
train2386,0,3
train2387,0,3
train2388,0,4
train2389,1,1
train2390,0,4
train2391,-1,2
train2392,0,4
train2393,1,1
train2394,0,3
train2395,1,1
train2396,-1,2
train2397,1,1
train2398,0,4
train2399,1,1
train2400,1,1
train2401,-1,2
train2402,0,3
train2403,0,4
train2404,-1,2
train2405,0,4
train2406,0,3
train2407,0,4
train2408,0,3
train2409,0,4
train2410,1,1
train2411,1,1
train2412,-1,2
train2413,0,3
train2414,1,1
train2415,0,3
train2416,-1,2
train2417,-1,2
train2418,-1,2
train2419,-1,2
train2420,0,3
train2421,1,1
train2422,1,1
train2423,1,1
train2424,-1,2
train2425,0,4
train2426,0,3
train2427,0,4
train2428,-1,2
train2429,1,1
train2430,0,4
train2431,-1,2
train2432,-1,2
train2433,1,1
train2434,-1,2
train2435,-1,2
train2436,1,1
train2437,0,3
train2438,0,4
train2439,0,4
train2440,0,3
train2441,1,1
train2442,0,3
train2443,0,3
train2444,-1,2
train2445,0,3
train2446,0,3
train2447,-1,2
train2448,0,3
train2449,-1,2
train2450,1,1
train2451,0,4
train2452,-1,2
train2453,-1,2
train2454,0,3
train2455,0,4
train2456,0,3
train2457,0,4
train2458,0,4
train2459,0,4
train2460,0,3
train2461,0,3
train2462,-1,2
train2463,0,4
train2464,-1,2
train2465,0,3
train2466,1,1
train2467,1,1
train2468,0,4
train2469,1,1
train2470,-1,2
train2471,0,4
train2472,1,1
train2473,0,4
train2474,1,1
train2475,-1,2
train2476,0,3
train2477,-1,2
train2478,1,1
train2479,-1,2
train2480,0,3
train2481,-1,2
train2482,-1,2
train2483,-1,2
train2484,0,4
train2485,0,4
train2486,0,3
train2487,0,4
train2488,1,1
train2489,-1,2
train2490,0,3
train2491,-1,2
train2492,1,1
train2493,-1,2
train2494,0,4
train2495,-1,2
train2496,0,4
train2497,1,1
train2498,0,3
train2499,-1,2
train2500,0,4
train2501,-1,2
train2502,1,1
train2503,0,4
train2504,0,3
train2505,0,3
train2506,0,4
train2507,1,1
train2508,1,1
train2509,0,3
train2510,0,3
train2511,0,4
train2512,0,4
train2513,1,1
train2514,1,1
train2515,0,3
train2516,0,3
train2517,0,4
train2518,0,4
train2519,-1,2
train2520,0,4
train2521,-1,2
train2522,0,3
train2523,1,1
train2524,1,1
train2525,1,1
train2526,0,4
train2527,1,1
train2528,1,1
train2529,0,4
train2530,0,4
train2531,0,3
train2532,1,1
train2533,1,1
train2534,-1,2
train2535,0,3
train2536,1,1
train2537,0,4
train2538,1,1
train2539,1,1
train2540,0,3
train2541,1,1
train2542,1,1
train2543,0,3
train2544,0,4
train2545,-1,2
train2546,-1,2
train2547,0,4
train2548,0,4
train2549,-1,2
train2550,-1,2
train2551,0,3
train2552,-1,2
train2553,1,1
train2554,0,3
train2555,-1,2
train2556,0,4
train2557,0,4
train2558,0,4
train2559,0,3
train2560,-1,2
train2561,1,1
train2562,1,1
train2563,-1,2
train2564,1,1
train2565,-1,2
train2566,0,4
train2567,1,1
train2568,-1,2
train2569,0,3
train2570,1,1
train2571,1,1
train2572,-1,2
train2573,1,1
train2574,0,3
train2575,1,1
train2576,0,4
train2577,0,4
train2578,1,1
train2579,0,4
train2580,0,3
train2581,1,1
train2582,0,3
train2583,-1,2
train2584,0,3
train2585,-1,2
train2586,-1,2
train2587,0,3
train2588,-1,2
train2589,0,3
train2590,1,1
train2591,-1,2
train2592,1,1
train2593,0,3
train2594,1,1
train2595,0,4
train2596,0,4
train2597,-1,2
train2598,-1,2
train2599,0,3
train2600,0,3
train2601,-1,2
train2602,0,4
train2603,-1,2
train2604,-1,2
train2605,0,3
train2606,0,3
train2607,0,3
train2608,1,1
train2609,-1,2
train2610,0,4
train2611,0,3
train2612,1,1
train2613,1,1
train2614,0,3
train2615,-1,2
train2616,0,3
train2617,-1,2
train2618,1,1
train2619,0,3
train2620,1,1
train2621,1,1
train2622,-1,2
train2623,0,3
train2624,1,1
train2625,0,3
train2626,0,3
train2627,-1,2
train2628,1,1
train2629,1,1
train2630,0,3
train2631,-1,2
train2632,1,1
train2633,1,1
train2634,0,4
train2635,1,1
train2636,1,1
train2637,0,3
train2638,0,4
train2639,1,1
train2640,-1,2
train2641,-1,2
train2642,1,1
train2643,0,4
train2644,-1,2
train2645,0,4
train2646,0,4
train2647,-1,2
train2648,-1,2
train2649,0,3
train2650,0,3
train2651,0,3
train2652,1,1
train2653,1,1
train2654,1,1
train2655,0,3
train2656,1,1
train2657,1,1
train2658,1,1
train2659,0,4
train2660,1,1
train2661,0,3
train2662,1,1
train2663,-1,2
train2664,-1,2
train2665,1,1
train2666,0,3
train2667,1,1
train2668,1,1
train2669,0,4
train2670,-1,2
train2671,0,4
train2672,0,4
train2673,0,3
train2674,1,1
train2675,0,4
train2676,1,1
train2677,-1,2
train2678,0,3
train2679,0,3
train2680,-1,2
train2681,0,3
train2682,0,3
train2683,0,4
train2684,0,3
train2685,0,4
train2686,-1,2
train2687,0,3
train2688,0,4
train2689,-1,2
train2690,-1,2
train2691,0,3
train2692,0,4
train2693,-1,2
train2694,1,1
train2695,0,3
train2696,-1,2
train2697,0,3
train2698,0,3
train2699,0,4
train2700,-1,2
train2701,-1,2
train2702,0,3
train2703,1,1
train2704,-1,2
train2705,0,4
train2706,-1,2
train2707,1,1
train2708,1,1
train2709,-1,2
train2710,-1,2
train2711,1,1
train2712,1,1
train2713,1,1
train2714,0,4
train2715,1,1
train2716,0,3
train2717,-1,2
train2718,-1,2
train2719,1,1
train2720,0,4
train2721,1,1
train2722,-1,2
train2723,-1,2
train2724,0,3
train2725,0,3
train2726,1,1
train2727,0,3
train2728,0,4
train2729,-1,2
train2730,0,4
train2731,1,1
train2732,1,1
train2733,0,4
train2734,0,4
train2735,-1,2
train2736,1,1
train2737,-1,2
train2738,0,3
train2739,0,4
train2740,1,1
train2741,0,3
train2742,0,4
train2743,0,4
train2744,0,4
train2745,0,3
train2746,-1,2
train2747,0,3
train2748,0,4
train2749,0,4
train2750,0,3
train2751,0,3
train2752,-1,2
train2753,-1,2
train2754,0,3
train2755,-1,2
train2756,0,3
train2757,0,3
train2758,1,1
train2759,0,3
train2760,0,4
train2761,0,3
train2762,-1,2
train2763,-1,2
train2764,0,4
train2765,0,3
train2766,0,3
train2767,0,3
train2768,0,4
train2769,0,3
train2770,1,1
train2771,0,3
train2772,0,3
train2773,0,4
train2774,0,4
train2775,0,3
train2776,1,1
train2777,0,4
train2778,0,4
train2779,-1,2
train2780,1,1
train2781,0,4
train2782,0,4
train2783,-1,2
train2784,0,3
train2785,1,1
train2786,0,4
train2787,0,3
train2788,1,1
train2789,-1,2
train2790,0,4
train2791,0,4
train2792,0,3
train2793,0,4
train2794,1,1
train2795,0,3
train2796,1,1
train2797,0,3
train2798,-1,2
train2799,0,3
train2800,1,1
train2801,0,4
train2802,0,3
train2803,0,3
train2804,0,4
train2805,1,1
train2806,0,4
train2807,0,4
train2808,1,1
train2809,0,4
train2810,0,3
train2811,0,4
train2812,-1,2
train2813,0,3
train2814,0,4
train2815,0,4
train2816,0,4
train2817,0,3
train2818,0,4
train2819,1,1
train2820,1,1
train2821,1,1
train2822,1,1
train2823,0,3
train2824,1,1
train2825,-1,2
train2826,0,3
train2827,0,4
train2828,0,4
train2829,1,1
train2830,0,4
train2831,0,3
train2832,0,4
train2833,1,1
train2834,-1,2
train2835,0,4
train2836,-1,2
train2837,1,1
train2838,0,3
train2839,0,3
train2840,1,1
train2841,1,1
train2842,-1,2
train2843,1,1
train2844,0,3
train2845,0,3
train2846,0,4
train2847,1,1
train2848,0,3
train2849,0,3
train2850,1,1
train2851,0,4
train2852,0,4
train2853,0,4
train2854,0,3
train2855,-1,2
train2856,0,4
train2857,0,3
train2858,0,4
train2859,-1,2
train2860,1,1
train2861,0,3
train2862,0,3
train2863,1,1
train2864,0,3
train2865,-1,2
train2866,1,1
train2867,-1,2
train2868,1,1
train2869,0,4
train2870,0,4
train2871,-1,2
train2872,1,1
train2873,0,4
train2874,0,3
train2875,0,4
train2876,0,4
train2877,0,3
train2878,-1,2
train2879,0,3
train2880,0,4
train2881,1,1
train2882,1,1
train2883,1,1
train2884,0,3
train2885,1,1
train2886,-1,2
train2887,-1,2
train2888,1,1
train2889,0,3
train2890,0,4
train2891,1,1
train2892,0,4
train2893,0,3
train2894,0,3
train2895,0,3
train2896,0,4
train2897,1,1
train2898,-1,2
train2899,0,4
train2900,0,4
train2901,1,1
train2902,0,3
train2903,-1,2
train2904,0,4
train2905,0,4
train2906,1,1
train2907,-1,2
train2908,0,3
train2909,0,3
train2910,-1,2
train2911,0,3
train2912,1,1
train2913,0,4
train2914,0,4
train2915,1,1
train2916,-1,2
train2917,0,4
train2918,1,1
train2919,0,3
train2920,0,4
train2921,1,1
train2922,0,4
train2923,1,1
train2924,0,4
train2925,0,4
train2926,-1,2
train2927,-1,2
train2928,0,4
train2929,0,3
train2930,-1,2
train2931,0,4
train2932,1,1
train2933,1,1
train2934,1,1
train2935,-1,2
train2936,1,1
train2937,0,4
train2938,1,1
train2939,0,4
train2940,0,3
train2941,0,4
train2942,-1,2
train2943,0,4
train2944,0,4
train2945,1,1
train2946,1,1
train2947,0,4
train2948,0,4
train2949,-1,2
train2950,0,4
train2951,1,1
train2952,0,4
train2953,0,4
train2954,0,3
train2955,0,4
train2956,0,4
train2957,0,3
train2958,0,4
train2959,-1,2
train2960,0,3
train2961,1,1
train2962,0,4
train2963,-1,2
train2964,-1,2
train2965,-1,2
train2966,1,1
train2967,0,3
train2968,-1,2
train2969,-1,2
train2970,0,3
train2971,1,1
train2972,0,3
train2973,1,1
train2974,0,3
train2975,0,4
train2976,1,1
train2977,0,3
train2978,0,4
train2979,1,1
train2980,-1,2
train2981,1,1
train2982,0,4
train2983,0,3
train2984,0,4
train2985,1,1
train2986,0,3
train2987,0,3
train2988,-1,2
train2989,0,3
train2990,0,3
train2991,0,3
train2992,-1,2
train2993,0,3
train2994,0,4
train2995,-1,2
train2996,0,3
train2997,1,1
train2998,0,3
train2999,-1,2
train3000,0,4
train3001,0,3
train3002,-1,2
train3003,0,3
train3004,1,1
train3005,-1,2
train3006,0,4
train3007,1,1
train3008,1,1
train3009,0,3
train3010,0,4
train3011,0,4
train3012,0,4
train3013,0,3
train3014,0,4
train3015,-1,2
train3016,0,3
train3017,0,3
train3018,0,4
train3019,-1,2
train3020,0,3
train3021,-1,2
train3022,1,1
train3023,-1,2
train3024,-1,2
train3025,0,3
train3026,1,1
train3027,1,1
train3028,-1,2
train3029,1,1
train3030,0,4
train3031,-1,2
train3032,-1,2
train3033,1,1
train3034,-1,2
train3035,0,4
train3036,0,4
train3037,0,3
train3038,-1,2
train3039,1,1
train3040,0,4
train3041,-1,2
train3042,0,4
train3043,0,4
train3044,0,3
train3045,-1,2
train3046,0,3
train3047,1,1
train3048,1,1
train3049,-1,2
train3050,0,4
train3051,0,4
train3052,0,3
train3053,0,3
train3054,0,3
train3055,1,1
train3056,-1,2
train3057,-1,2
train3058,0,4
train3059,1,1
train3060,1,1
train3061,1,1
train3062,1,1
train3063,0,3
train3064,-1,2
train3065,0,3
train3066,-1,2
train3067,1,1
train3068,0,4
train3069,1,1
train3070,0,4
train3071,1,1
train3072,0,4
train3073,0,4
train3074,0,3
train3075,-1,2
train3076,1,1
train3077,-1,2
train3078,-1,2
train3079,1,1
train3080,-1,2
train3081,0,3
train3082,0,3
train3083,0,4
train3084,-1,2
train3085,0,3
train3086,-1,2
train3087,-1,2
train3088,-1,2
train3089,0,3
train3090,1,1
train3091,-1,2
train3092,0,3
train3093,1,1
train3094,1,1
train3095,0,4
train3096,0,3
train3097,0,3
train3098,0,3
train3099,0,3
train3100,0,4
train3101,-1,2
train3102,0,4
train3103,-1,2
train3104,1,1
train3105,-1,2
train3106,0,4
train3107,0,3
train3108,-1,2
train3109,0,3
train3110,0,3
train3111,0,4
train3112,0,4
train3113,0,3
train3114,0,4
train3115,-1,2
train3116,1,1
train3117,1,1
train3118,-1,2
train3119,-1,2
train3120,0,4
train3121,0,3
train3122,0,4
train3123,0,4
train3124,0,4
train3125,0,3
train3126,1,1
train3127,0,4
train3128,0,4
train3129,-1,2
train3130,0,4
train3131,0,4
train3132,1,1
train3133,1,1
train3134,0,4
train3135,0,3
train3136,-1,2
train3137,0,4
train3138,-1,2
train3139,0,3
train3140,0,4
train3141,0,4
train3142,0,4
train3143,0,3
train3144,-1,2
train3145,1,1
train3146,0,4
train3147,0,3
train3148,0,3
train3149,0,4
train3150,1,1
train3151,-1,2
train3152,0,4
train3153,1,1
train3154,0,3
train3155,0,4
train3156,0,4
train3157,0,3
train3158,-1,2
train3159,0,3
train3160,1,1
train3161,0,3
train3162,0,3
train3163,1,1
train3164,0,3
train3165,0,3
train3166,0,4
train3167,0,3
train3168,1,1
train3169,0,3
train3170,1,1
train3171,0,4
train3172,0,4
train3173,0,4
train3174,0,3
train3175,0,4
train3176,0,4
train3177,0,4
train3178,0,4
train3179,-1,2
train3180,0,3
train3181,0,4
train3182,0,4
train3183,-1,2
train3184,0,4
train3185,-1,2
train3186,0,4
train3187,0,4
train3188,0,4
train3189,1,1
train3190,-1,2
train3191,0,4
train3192,-1,2
train3193,1,1
train3194,0,3
train3195,0,4
train3196,-1,2
train3197,-1,2
train3198,1,1
train3199,1,1
train3200,1,1
train3201,-1,2
train3202,0,4
train3203,0,3
train3204,0,4
train3205,-1,2
train3206,0,3
train3207,1,1
train3208,0,3
train3209,0,4
train3210,1,1
train3211,0,4
train3212,0,4
train3213,0,4
train3214,1,1
train3215,0,4
train3216,1,1
train3217,1,1
train3218,0,3
train3219,1,1
train3220,0,3
train3221,1,1
train3222,1,1
train3223,1,1
train3224,0,4
train3225,-1,2
train3226,1,1
train3227,0,3
train3228,0,3
train3229,0,3
train3230,0,3
train3231,-1,2
train3232,0,4
train3233,1,1
train3234,0,3
train3235,0,3
train3236,0,4
train3237,1,1
train3238,0,3
train3239,-1,2
train3240,-1,2
train3241,1,1
train3242,1,1
train3243,0,3
train3244,0,4
train3245,0,3
train3246,0,3
train3247,0,4
train3248,0,4
train3249,-1,2
train3250,0,4
train3251,1,1
train3252,0,3
train3253,0,4
train3254,1,1
train3255,-1,2
train3256,0,4
train3257,1,1
train3258,1,1
train3259,0,3
train3260,0,4
train3261,0,3
train3262,0,3
train3263,1,1
train3264,1,1
train3265,-1,2
train3266,0,3
train3267,-1,2
train3268,0,4
train3269,-1,2
train3270,1,1
train3271,1,1
train3272,0,3
train3273,0,3
train3274,0,4
train3275,0,4
train3276,1,1
train3277,1,1
train3278,-1,2
train3279,1,1
train3280,0,4
train3281,1,1
train3282,0,4
train3283,0,4
train3284,1,1
train3285,0,4
train3286,0,4
train3287,-1,2
train3288,0,4
train3289,1,1
train3290,1,1
train3291,1,1
train3292,1,1
train3293,1,1
train3294,-1,2
train3295,-1,2
train3296,-1,2
train3297,-1,2
train3298,1,1
train3299,1,1
train3300,-1,2
train3301,0,4
train3302,1,1
train3303,1,1
train3304,-1,2
train3305,0,3
train3306,-1,2
train3307,0,4
train3308,0,4
train3309,1,1
train3310,0,3
train3311,0,3
train3312,0,4
train3313,0,4
train3314,0,4
train3315,-1,2
train3316,-1,2
train3317,1,1
train3318,-1,2
train3319,0,4
train3320,0,4
train3321,-1,2
train3322,-1,2
train3323,1,1
train3324,1,1
train3325,0,4
train3326,0,4
train3327,0,4
train3328,0,3
train3329,1,1
train3330,1,1
train3331,-1,2
train3332,1,1
train3333,0,4
train3334,0,4
train3335,-1,2
train3336,0,3
train3337,0,4
train3338,0,3
train3339,1,1
train3340,-1,2
train3341,0,4
train3342,-1,2
train3343,-1,2
train3344,-1,2
train3345,-1,2
train3346,0,3
train3347,-1,2
train3348,1,1
train3349,-1,2
train3350,0,4
train3351,0,3
train3352,-1,2
train3353,-1,2
train3354,1,1
train3355,1,1
train3356,1,1
train3357,0,4
train3358,-1,2
train3359,1,1
train3360,1,1
train3361,-1,2
train3362,0,4
train3363,0,4
train3364,0,4
train3365,-1,2
train3366,-1,2
train3367,1,1
train3368,-1,2
train3369,-1,2
train3370,0,4
train3371,-1,2
train3372,0,3
train3373,-1,2
train3374,0,3
train3375,-1,2
train3376,-1,2
train3377,-1,2
train3378,-1,2
train3379,1,1
train3380,0,3
train3381,-1,2
train3382,1,1
train3383,0,4
train3384,-1,2
train3385,0,4
train3386,0,4
train3387,-1,2
train3388,0,4
train3389,0,4
train3390,1,1
train3391,1,1
train3392,0,3
train3393,0,4
train3394,0,3
train3395,0,3
train3396,-1,2
train3397,-1,2
train3398,0,3
train3399,0,4
train3400,-1,2
train3401,0,4
train3402,1,1
train3403,0,4
train3404,0,3
train3405,0,4
train3406,0,4
train3407,-1,2
train3408,-1,2
train3409,1,1
train3410,1,1
train3411,0,4
train3412,0,4
train3413,1,1
train3414,-1,2
train3415,0,3
train3416,1,1
train3417,0,4
train3418,0,4
train3419,-1,2
train3420,1,1
train3421,-1,2
train3422,-1,2
train3423,1,1
train3424,1,1
train3425,-1,2
train3426,-1,2
train3427,0,3
train3428,-1,2
train3429,1,1
train3430,1,1
train3431,1,1
train3432,0,3
train3433,0,4
train3434,0,3
train3435,1,1
train3436,-1,2
train3437,1,1
train3438,0,4
train3439,0,4
train3440,-1,2
train3441,0,4
train3442,1,1
train3443,0,4
train3444,-1,2
train3445,1,1
train3446,0,4
train3447,0,4
train3448,1,1
train3449,1,1
train3450,0,3
train3451,0,4
train3452,-1,2
train3453,0,3
train3454,0,3
train3455,0,4
train3456,1,1
train3457,0,3
train3458,1,1
train3459,0,4
train3460,1,1
train3461,0,3
train3462,0,4
train3463,-1,2
train3464,-1,2
train3465,0,4
train3466,0,3
train3467,0,4
train3468,-1,2
train3469,-1,2
train3470,1,1
train3471,1,1
train3472,0,4
train3473,0,4
train3474,0,4
train3475,0,3
train3476,0,4
train3477,1,1
train3478,1,1
train3479,0,4
train3480,-1,2
train3481,-1,2
train3482,0,3
train3483,0,4
train3484,1,1
train3485,0,3
train3486,0,3
train3487,0,4
train3488,-1,2
train3489,0,3
train3490,-1,2
train3491,0,4
train3492,1,1
train3493,0,4
train3494,1,1
train3495,0,4
